,county_state,poppct_urban,poppct_rural
626,Grundy_IL,75.62,24.38
627,Hamilton_IL,31.9,68.1
628,Hancock_IL,29.03,70.97
629,Hardin_IL,0.0,100.0
630,Henderson_IL,0.34,99.66
631,Henry_IL,49.72,50.28
632,Iroquois_IL,28.26,71.74
633,Jackson_IL,62.83,37.17
634,Jasper_IL,30.14,69.86
635,Jefferson_IL,41.23,58.77
636,Jersey_IL,39.43,60.57
637,Jo Daviess_IL,27.41,72.59
638,Johnson_IL,0.0,100.0
639,Kane_IL,96.44,3.56
640,Kankakee_IL,75.54,24.46
641,Kendall_IL,89.58,10.42
642,Knox_IL,75.68,24.32
643,Lake_IL,98.73,1.27
644,LaSalle_IL,69.79,30.21
645,Lawrence_IL,41.98,58.02
646,Lee_IL,46.79,53.21
647,Livingston_IL,59.2,40.8
648,Logan_IL,60.14,39.86
649,McDonough_IL,70.5,29.5
650,McHenry_IL,90.12,9.88
651,McLean_IL,83.5,16.5
652,Macon_IL,84.74,15.26
653,Macoupin_IL,41.49,58.51
654,Madison_IL,86.66,13.34
655,Marion_IL,54.94,45.06
656,Marshall_IL,0.0,100.0
657,Mason_IL,22.51,77.49
658,Massac_IL,49.49,50.51
659,Menard_IL,24.31,75.69
660,Mercer_IL,22.24,77.76
661,Monroe_IL,58.64,41.36
662,Montgomery_IL,58.38,41.62
663,Morgan_IL,63.77,36.23
664,Moultrie_IL,30.76,69.24
665,Ogle_IL,52.9,47.1
666,Peoria_IL,85.35,14.65
667,Perry_IL,56.36,43.64
668,Piatt_IL,32.34,67.66
669,Pike_IL,27.69,72.31
670,Pope_IL,0.0,100.0
671,Pulaski_IL,0.0,100.0
672,Putnam_IL,0.0,100.0
673,Randolph_IL,57.36,42.64
674,Richland_IL,56.53,43.47
675,Rock Island_IL,89.08,10.92
676,St. Clair_IL,90.25,9.75
677,Saline_IL,56.34,43.66
678,Sangamon_IL,85.87,14.13
679,Schuyler_IL,42.36,57.64
680,Scott_IL,0.0,100.0
681,Shelby_IL,22.27,77.73
682,Stark_IL,0.0,100.0
683,Stephenson_IL,59.91,40.09
684,Tazewell_IL,79.58,20.42
685,Union_IL,34.13,65.87
686,Vermilion_IL,68.74,31.26
687,Wabash_IL,61.1,38.9
688,Warren_IL,54.52,45.48
689,Washington_IL,26.35,73.65
690,Wayne_IL,30.07,69.93
691,White_IL,37.97,62.03
692,Whiteside_IL,62.66,37.34
693,Will_IL,96.07,3.93
694,Williamson_IL,65.2,34.8
695,Winnebago_IL,92.09,7.91
696,Woodford_IL,45.11,54.89
697,Adams_IN,46.33,53.67
698,Allen_IN,88.12,11.88
699,Bartholomew_IN,66.3,33.7
700,Benton_IN,0.0,100.0
701,Blackford_IN,49.39,50.61
702,Boone_IN,65.59,34.41
703,Brown_IN,0.0,100.0
704,Carroll_IN,18.6,81.4
705,Cass_IN,55.33,44.67
706,Clark_IN,79.49,20.51
707,Clay_IN,39.11,60.89
708,Clinton_IN,50.22,49.78
709,Crawford_IN,0.0,100.0
710,Daviess_IN,39.72,60.28
711,Dearborn_IN,46.94,53.06
712,Decatur_IN,46.2,53.8
713,DeKalb_IN,57.7,42.3
714,Delaware_IN,77.19,22.81
715,Dubois_IN,50.75,49.25
716,Elkhart_IN,79.41,20.59
717,Fayette_IN,63.22,36.78
718,Floyd_IN,79.67,20.33
719,Fountain_IN,34.05,65.95
720,Franklin_IN,11.14,88.86
721,Fulton_IN,35.08,64.92
722,Gibson_IN,46.38,53.62
723,Grant_IN,71.09,28.91
724,Greene_IN,25.16,74.84
725,Hamilton_IN,94.36,5.64
726,Hancock_IN,69.55,30.45
727,Harrison_IN,14.15,85.85
728,Hendricks_IN,82.15,17.85
729,Henry_IN,57.14,42.86
730,Howard_IN,78.46,21.54
731,Huntington_IN,49.04,50.96
732,Jackson_IN,56.27,43.73
733,Jasper_IN,31.96,68.04
734,Jay_IN,44.35,55.65
735,Jefferson_IN,54.9,45.1
736,Jennings_IN,39.8,60.2
737,Johnson_IN,86.1,13.9
738,Knox_IN,63.79,36.21
739,Kosciusko_IN,53.4,46.6
740,LaGrange_IN,8.38,91.62
741,Lake_IN,96.03,3.97
742,LaPorte_IN,64.37,35.63
743,Lawrence_IN,41.55,58.45
744,Madison_IN,76.91,23.09
745,Marion_IN,99.4,0.6
746,Marshall_IN,36.65,63.35
747,Martin_IN,27.71,72.29
748,Miami_IN,53.51,46.49
749,Monroe_IN,78.75,21.25
750,Montgomery_IN,47.25,52.75
751,Morgan_IN,50.86,49.14
752,Newton_IN,0.0,100.0
753,Noble_IN,31.95,68.05
754,Ohio_IN,0.0,100.0
755,Orange_IN,16.54,83.46
756,Owen_IN,0.0,100.0
757,Parke_IN,25.02,74.98
758,Perry_IN,44.96,55.04
759,Pike_IN,0.0,100.0
760,Porter_IN,79.25,20.75
761,Posey_IN,33.24,66.76
762,Pulaski_IN,19.06,80.94
763,Putnam_IN,35.2,64.8
764,Randolph_IN,38.13,61.87
